Number,MIC,Company Name,Model Name,Problem 1,Last Date
21CG0025,PWV,PARKS MANUFACTURING LLC,1900 STL,FLOTATION TEST FOR PERSON,2023-01-06
23MF0011,CRC,CRESTLINER INC,VARIOUS,,2023-01-05
150001T,BUJ,TRACKER MARINE GROUP,MAKO 18 LTS,HULL; CRACKS,2023-01-04
160010T,BUJ,TRACKER MARINE,MAKO 17; MAKO 19,ENGINE; GASOLINE,2023-01-04
170012T,BUJ,TRACKER,SBB18 RP200C,ELECTRICAL SYSTEM,2023-01-04
180016S,BUJ,TRACKER,DEEP V GRIZZLY HELM,ELECTRICAL,2023-01-04
140010T,,KOHLER POWER SYSTEMS,5/7.5/10 EKD AND 4/6/8 EFKD,EXHAUST SYSTEM,2023-01-03
22MF0424,FGE,COBALT BOATS LLC (DBS),R8 OUTBOARD,,2023-01-03
22MF0624,KLI,THE KL COMPANIES INC,,,2023-01-03
23MF0006,LWC,LOWE BOATS,VARIOUS,,2023-01-03
23MF0007,LWC,LOWE BOATS,VARIOUS,,2023-01-03
22MF0642,999,CUMMINS,,,2022-12-12
22MF0643,999,CUMMINS,,,2022-12-12
22MF0111,LYG,SEA FOX BOAT COMPANY INC,180 - 268 SERIES,,2022-04-12
170016T,HPS,AMERICAN HONDA MOTOR CO,BF 115 TO BF 250,FUEL SYSTEM,2022-07-11
20CG0034,VRH,RHINO ROTO MOLDING,BEAVERTAIL FINAL ATTACK,MAX PERSONS IN POUNDS,2022-12-09
22MF0454,111,DOMETIC (COMPONENT),STEERING CABLE,,2022-09-09
170008T,,MERCURY MARINE,VERADO 200/300 AND HI-PERF. 400R,ENGINE; GASOLINE,2022-06-09
22MF0447,BUJ,WHITE RIVER MARINE GROUP LLC,VARIOUS - SEE DOCS,,2022-09-08
20SD0002,HQZ,DOMETIC-SEASTAR,HYDRAULIC HOSE,DYNAMIC INSTABILITY,2022-03-08
21MF0547,111,MERCURY - MOTOGUIDE,,,2022-03-08
190003S,LBB,LUND BOATS,SSV-16,LEVEL FLOTATION,2022-02-08
190027T,LBB,LUND BOATS,"""189 TYEE, 189 PRO-V""",ENGINE MOUNT,2022-02-08
180005T,LBB,LUND BOAT COMPANY,"""189 TYEE GL, 189 PRO-V GL""",ENGINE INTERFERENCE,2022-02-08
190037T,,MERCURY MARINE,DESIGN 2 JOYSTICK,DYNAMIC INSTABILITY,2022-07-07
21MF0344,YAM,YAMAHA MOTOR CORP USA,KPT/KXT 1800,,2022-07-07
120036T,YAM,YAMAHA MOTOR CORP USA,"""VXR, VXS""",ENGINE; GASOLINE,2022-04-07
21MF0428,999,DOMETIC,FUEL PUMP,,2022-02-07
22MF0034,111,VOLVO PENTA,"D8, D11, D13, D16",,2022-02-07
21CG0002,YKR,MARLON RECREATIONAL PRODUCTS,SP123,,2022-12-06
22MF0435,CEC,"BRP US, INC.",,,2022-09-06
140023T,YAM,YAMAHA MOTOR CORP USA,"""AR240 , SX240, 242 LIMITED (S)""",VENTILATION,2022-07-06
170003T,YAM,YAMAHA MOTOR CORP USA,F90,ENGINE; GASOLINE,2022-07-06
190025T,YAM,YAMAHA MOTOR CORP USA,SAT1800E/F,ENGINE SHIFT CONTROL,2022-07-06
150022S,YAM,YAMAHA MOTOR CORP USA,FSH 190,NAVIGATION LIGHTS,2022-07-06
160013S,YAM,YAMAHA CORP USA,XBT1800A/B/C,ELECTRICAL SYSTEM,2022-07-06
140005T,YAM,YAMAHA MOTOR CORP USA,F4 - F70,FUEL SYSTEM,2022-07-06
21MF0279,STE,"SKEETER PRODUCTS,INC.",SEE HIN LIST,OTHER,2022-07-06
21MF0575,YAM,YAMAHA MOTOR CORP USA,,,2022-07-06
22MF0044,YAM,YAMAHA MOTOR CORP USA,VARIOUS - SEE DOCS,,2022-07-06
190050S,GDY,HURRICANE BOATS,"""196, 198 FUNDECK""",LEVEL FLOTATION,2022-06-06
150005T,,MERCURY MARINE,VERADO 250/300,STEERING,2022-06-06
22MF0187,BUJ,WHITE RIVER MARINE GROUP LLC,"TARGA V19, RANGER VX",,2022-05-06
22MF0188,BUJ,WHITE RIVER MARINE GROUP LLC,"TARGA V19, RANGER VX",,2022-05-06
160008T,YAM,YAMAHA MOTOR CORP USA,SJ700B,STEERING GRIP DETACHMENT,2022-04-06
160009T,YAM,YAMAHA MOTOR CORP USA,VARIOUS LISTED BELOW,FUEL SYSTEM,2022-04-06
20SD0018,YAM,YAMAHA MOTOR CORP,FPT1800A,,2022-04-06
21MF0187,YAM,YAMAHA MOTOR CORP USA,"GP1800B, VX1050, GP1",,2022-04-06
22SD0001,LYG,SEA FOX BOAT COMPANY INC,,,2022-04-06
20SD0023,JKA,KAWASAKI MOTORS CORP USA,,,2022-01-06
21CG0005,SPB,SEA PRO BOATS LLC,172 BAY,FLOTATION TEST FOR PERSON,2022-12-05
190032T,,INDMAR PRODUCTS,SUPRA 400 450 575 MOOMBA 450,ELECTRICAL,2022-01-05
22MF0523,999,MERCURY MARINE,N/A OUTBOARD COMPONE,,2022-10-03
22MF0524,999,MERCURY MARINE,N/A OUTBOARD COMPONE,,2022-10-03
22MF0525,999,MERCURY MARINE,N/A OUTBOARD COMPONE,,2022-10-03
190046T,VXS,VEXUS BOATS,,FUEL SYSTEM,2022-08-03
20SD0027,111,,,,2022-05-03
21MF0212,999,LIPPERT,,,2022-02-03
22MF0350,YAM,YAMAHA MOTOR CORP USA,,,2022-08-01
190022T,,MERCURY MARINE,"""V-8 200-300, V-6 175-225, V8 25",ENGINE; GASOLINE,2022-06-01
21DL0938,PWV,PARKS MANUFACTURING LLC,1900 STL,MANUFACTURER HAS CALCULAT,2022-03-01
190029T,ZEP,PELICAN INTERNATIONAL INC,KRP13P109-130 HYDRIVE,BASIC FLOTATION,2021-06-08
190035T,,DOMETIC,,FUEL SYSTEM,2021-02-08
200001T,,DOMETIC,QI AUTO,,2021-07-07
21MF0381,RGR,RANGER BOATS,RANGER 622,TANK MOVES LESS THAN ¼” I,2021-08-06
160011S,BWC,BOSTON WHALER,315 CQ/ 315PH,ELECTRICAL SYSTEM,2021-07-06
160006S,BWC,BOSTON WHALER INC,345CQT 345PH,ELECTRICAL SYSTEM,2021-07-06
20SD0020,JNT,MASTER CRAFT BOAT HOLDINGS,,QUANTITY OF FLOTATION APP,2021-06-06
170013T,FGE,COBALT BOATS LLC (DBS),CS1 BOWRIDER,ELECTRICAL SYSTEM,2021-10-05
180015T,MB2,MALIBU BOATS INC,ALL EXCEPT TXI RESPONSE,ELECTRICAL SYSTEM,2021-08-05
19X047AS,BWC,BOSTON WHALER INC,190OR,SAFE LOADING MAX WT,2021-08-05
190026S,SER,SEA RAY BOATS,SXO400,ELECTRICAL SYSTEM,2021-05-05
12V250,AHQ,THUNDER JET BOATS,162/182V ECO,LEVEL FLOTATION,2021-03-05
21MF0577,SXS,SEA HUNT BOAT MFG CO INC,"ULTRA, BX, GAMEFISH,",,2021-12-03
21DL0926,JNT,MASTER CRAFT BOAT HOLDINGS,191 HYBRID,MANUFACTURER HAS CALCULAT,2021-11-03
020129T,HPS,AMERICAN HONDA MOTOR CO INC,ARX1200T3 AND ARX1200N3,ENGINE; THROTTLE BODY,2021-11-02
12R4760S,SKG,SHOCKWAVE CUSTOM BOATS,'25 TREMOR' IB POWERED BOAT,VENTILATION,2021-11-02
100024T,KAW,KAWASAKI MOTORS CORP,JT1500A9F & JT1500D9F,ENGINE; GASOLINE,2021-11-02
11R4302S,OMQ,MACKIE'S HOUSEBOAT PTS & REPR,'1556 CUSTOM' IB HOUSEBOAT,VENTILATION,2021-11-02
13R5094S,MAP,ESSEX PERFORMANCE BOATS,'24 VALOR' IB POWERED BOAT,VENTILATION,2021-11-02
18CG126S,YKR,MARLON RECREATIONAL PRODUCTS,SP 14 JON,LABEL; CERTIFICATION,2021-03-01
180013S,IJL,MARQUIS-LARSON,LARSON LXH AND LX VARIOUS SIZES,VENTILATION,2020-08-11
17CG088S,REC,RECREATION UNLIMITED LLC,CARAVELLE 17 EBO,LEVEL FLOTATION,2020-02-11
150002T,HQZ,JL AUDIO,,SPEAKER MOUNTING BRACKET,2020-02-11
170017T,TAC,TOHATSU AMERICA CORP,BFT115 TO BFT250,FUEL SYSTEM,2020-02-11
19R6078S,BRA,BRYANT BOATS INC,�CALANDRA C7� STERNDRIVE,VENTILATION,2020-02-11
15CG043S,XCL,EXCEL BOAT CO LLC,1754SWV4,LABEL; CAPACITY,2020-02-11
16CG079S,PHO,PHOWLER BOAT COMPANY,1850 LIGHT JON,BASIC FLOTATION,2020-02-11
170010T,PCM,PLEASURECRAFT ENGINE GROUP,"""6.0 L, 6.0L HO""",ELECTRICAL SYSTEM,2020-02-11
190036T,MB2,MALIBU BOATS INC,,FUEL SYSTEM,2020-02-11
20SD0010,AHQ,THUNDER JET BOATS,176 TO 180 ECOJET,BASIC FLOTATION,2020-12-10
150011T,GEN,G3 BOATS,DEEP VEE,DECK HINGE FAILURE,2020-02-10
19CG158S,FIS,FISH-RITE BOATS,SVW 15,SAFE LOADING MAX WT,2020-02-10
