Number,Company,Model Name,Problem 1,Problem 2,HIN,Disposition,Units,Boat Type,Severity,MIC,Company Official,Model Year,Case Open Date,Case Close Date,Campaign Open Date,Campaign Close Date,Last Date
21CG0025,PARKS MANUFACTURING LLC,1900 STL,Flotation test for person,Stability test (port),PWV17478F122,Open,427,,,PWV,jlu,2022,11/12/2021,,3/1/2022,,1/6/2023
23MF0011,CRESTLINER INC,various,,,VARIOUS,Open,1468,01,,CRC,,,12/21/2022,,1/5/2023,,1/5/2023
150001T,TRACKER MARINE GROUP,MAKO 18 LTS,HULL; CRACKS,,BUJ48616K415,Open,1192,11,M,BUJ,LEN,,1/23/2015,,1/23/2015,,1/4/2023
160010T,TRACKER MARINE,MAKO 17; MAKO 19,ENGINE; GASOLINE,,BUJ17700A617,Open,476,11,H,BUJ,LEN,2016,10/25/2016,,10/25/2016,,1/4/2023
170012T,TRACKER,SBB18 RP200C,ELECTRICAL SYSTEM,,,Open,7408,21,M,BUJ,LEN,,7/25/2017,,,,1/4/2023
180016S,TRACKER,DEEP V GRIZZLY HELM,ELECTRICAL,,,Open,4509,,M,BUJ,LRN,2018,9/13/2018,,,,1/4/2023
140010T,Kohler Power Systems,5/7.5/10 EKD and 4/6/8 EFKD,EXHAUST SYSTEM,,,Open,3526,54,,,eaj,,6/6/2014,,6/6/2014,,1/3/2023
22MF0424,COBALT BOATS LLC (DBS),R8 Outboard,,,VARIOUS,Open,49,11,,FGE,jlu,2022,,,10/30/2022,,1/3/2023
22MF0624,THE KL COMPANIES INC,,,,,Open,5713,15,,KLI,,,,,11/28/2022,,1/3/2023
23MF0006,LOWE BOATS,various,,,VARIOUS,Open,2581,01,,LWC,,9999,12/21/2022,,1/3/2023,,1/3/2023
23MF0007,LOWE BOATS,various,,,VARIOUS,Open,2581,01,,LWC,,9999,12/21/2022,,1/3/2023,,1/3/2023
22MF0642,Cummins,,,,QSM11CM570,Open,929,00,,999,,,12/12/2022,,12/12/2022,,12/12/2022
22MF0643,Cummins,,,,QSM11CM570,Open,929,00,,999,,,12/12/2022,,12/12/2022,,12/12/2022
22MF0111,SEA FOX BOAT COMPANY INC,180 - 268 Series,,,,Open,591,11,,LYG,jlu,2019,3/3/2022,,4/12/2022,,4/12/2022
